id,timestamp,user_id,session_id,user_message,chatbot_response,context,user_sentiment
16,2025-06-24T22:33:47.000001+00:00,0007,ddccbbaa-9988-7766-5544-33221100ffee,I miss my dad so much today,"That kind of longing never really goes away, does it? Missing someone you love deeply is such a raw, honest emotion. Want to share a memory about your dad that brings you comfort?",,-0.4
17,2025-06-24T22:34:20.999999+00:00,0008,ffeeccbb-aabb-ccdd-eeff-112233445566,My anxiety is spiraling again,"I'm here for you. When anxiety starts to take over, even small steps can feel impossible. Let's take one deep breath together right now. You're not alone. Want to try grounding yourself with me?",,-0.45
18,2025-06-24T22:34:55.123123+00:00,0009,00998877-6655-4433-2211-ffeeccddbb88,I feel peaceful today,"That’s wonderful to hear. Peace is such a beautiful, grounding feeling. Hold onto it as long as you can. Is there something special that brought on this sense of calm?",,0.7
19,2025-06-24T22:35:27.321321+00:00,0010,a1a1a1a1-b2b2-b2b2-c3c3-c3c3c3c3c3c3,People always leave me,"That kind of pain runs deep. Feeling abandoned can shake your sense of safety. You deserve people who stay. For now, I’m here—and I’m not going anywhere. Want to talk more about what happened?",,-0.5
20,2025-06-24T22:36:10.112233+00:00,0011,1122aabb-ccdd-eeff-3344-556677889900,Why does everything feel meaningless?,"That feeling of emptiness can be deeply unsettling. Sometimes it stems from burnout, loss, or just emotional exhaustion. You're not alone in this, even if it feels that way. Would it help to talk through what's been weighing on you?",,-0.6
21,2025-06-24T22:36:39.445566+00:00,0012,aabb1122-3344-5566-7788-99aabbccddeeff,I'm really proud of myself today,"That’s amazing to hear! It’s so important to recognize your own accomplishments. What made you feel proud? Let’s celebrate that moment!",,0.9
22,2025-06-24T22:37:14.778899+00:00,0013,ccddeeff-0011-2233-4455-66778899aabb,My chest feels tight and I can't breathe properly,"That sounds really uncomfortable. It could be anxiety manifesting physically. Let’s take a slow breath together — inhale for 4 seconds, hold for 4, exhale for 6. You're safe here. You're not alone.",,-0.55
23,2025-06-24T22:37:50.123321+00:00,0014,99887766-5544-3322-1100-aabbccddeeff,I feel numb lately,"Feeling numb is still a feeling. It’s often your mind’s way of protecting you when emotions become too much. You don’t have to fix it right now — just naming it is a strong first step.",,-0.4
24,2025-06-24T22:38:23.987654+00:00,0015,aa11bb22-cc33-dd44-ee55-ff6677889900,I aced my final exams!,"YES! That’s huge — congratulations! All your hard work paid off. You should take some time to celebrate and soak in the success. You earned it!",,0.95
25,2025-06-24T22:38:59.654321+00:00,0016,ffeeddcc-bbaa-9988-7766-554433221100,Every day feels the same,"That sense of monotony can be exhausting. Routine can sometimes blur into a fog. Maybe we can explore small changes or moments of joy you could add to break the cycle?",,-0.35
26,2025-06-24T22:39:28.445566+00:00,0017,11223344-5566-7788-99aa-bbccddeeff00,Just had a panic attack,"That must have been so frightening. Panic attacks are intense, but they pass — even though it doesn’t feel that way in the moment. Would you like to try a grounding technique together?",,-0.6
27,2025-06-24T22:40:01.332211+00:00,0018,a1b2c3d4-e5f6-7890-gh12-ijklmnopqrst,I feel hopeful for the first time in a while,"That’s beautiful. Hope is a quiet strength — it means something inside you still believes in the possibility of better days. I’m so glad you’re feeling it. Want to talk about what changed?",,0.75
28,2025-06-24T22:40:35.778899+00:00,0019,44556677-8899-aabb-ccdd-eeff00112233,My partner understands me so well,"That's such a gift. Feeling seen and understood can bring immense emotional safety. Cherish that bond — those relationships are what make life meaningful.",,0.85
29,2025-06-24T22:41:10.999888+00:00,0020,99887766-5544-3322-1100-aabbccddffee,I can't sleep at night,"Sleepless nights can be really hard — especially when your mind won’t slow down. Do you think it’s stress, racing thoughts, or something else? Let’s try to calm your system down together.",,-0.45
